filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_445.nii.gz,0.787,0.702,0.896,0.603,0.433,0.995,0.403,0.318,0.553,0.527,0.842,0.384,0.869,0.812,0.934
BRATS_446.nii.gz,0.630,0.465,0.980,0.563,0.392,0.997,0.544,0.374,1.000,0.793,0.689,0.934,0.767,0.622,0.999
BRATS_447.nii.gz,0.731,0.604,0.925,0.491,0.326,0.997,0.804,0.675,0.994,0.812,0.708,0.952,0.759,0.629,0.958
BRATS_448.nii.gz,0.754,0.609,0.988,0.000,0.000,1.000,0.636,0.466,0.999,0.807,0.685,0.983,0.682,0.518,1.000
BRATS_449.nii.gz,0.856,0.771,0.962,0.337,0.587,0.236,0.854,0.746,0.999,0.842,0.810,0.877,0.834,0.715,1.000
BRATS_450.nii.gz,0.682,0.597,0.794,0.731,0.599,0.935,0.687,0.546,0.925,0.822,0.770,0.882,0.774,0.645,0.968
BRATS_451.nii.gz,0.706,0.561,0.954,0.000,0.000,1.000,0.665,0.539,0.867,0.710,0.560,0.970,0.716,0.567,0.973
BRATS_452.nii.gz,0.624,0.456,0.987,0.592,0.432,0.941,0.426,0.270,1.000,0.580,0.411,0.987,0.563,0.392,0.996
BRATS_453.nii.gz,0.698,0.542,0.978,0.001,0.000,1.000,0.389,0.245,0.949,0.706,0.552,0.980,0.692,0.531,0.993
BRATS_454.nii.gz,0.677,0.519,0.972,0.039,0.053,0.031,0.732,0.584,0.979,0.658,0.497,0.973,0.682,0.524,0.976
BRATS_455.nii.gz,0.785,0.721,0.861,0.000,0.000,1.000,0.754,0.661,0.876,0.615,0.712,0.542,0.800,0.730,0.884
BRATS_456.nii.gz,0.702,0.575,0.902,0.597,0.426,0.999,0.699,0.561,0.926,0.835,0.761,0.925,0.850,0.761,0.963
BRATS_457.nii.gz,0.699,0.841,0.598,0.001,0.000,1.000,0.652,0.490,0.973,0.621,0.842,0.492,0.625,0.851,0.494
BRATS_458.nii.gz,0.452,0.717,0.330,0.001,0.000,1.000,0.623,0.607,0.640,0.464,0.779,0.330,0.396,0.694,0.277
BRATS_459.nii.gz,0.683,0.919,0.544,0.162,0.717,0.091,0.321,0.646,0.213,0.665,0.908,0.525,0.682,0.895,0.551
BRATS_460.nii.gz,0.728,0.589,0.953,0.442,0.776,0.309,0.637,0.471,0.987,0.743,0.763,0.724,0.570,0.710,0.476
BRATS_461.nii.gz,0.832,0.712,0.999,0.418,0.625,0.314,0.546,0.377,0.986,0.767,0.725,0.814,0.775,0.634,0.998
BRATS_462.nii.gz,0.643,0.505,0.885,0.001,0.001,1.000,0.517,0.363,0.898,0.583,0.411,1.000,0.555,0.384,1.000
BRATS_463.nii.gz,0.641,0.887,0.501,0.327,0.778,0.207,0.558,0.526,0.595,0.440,0.904,0.291,0.874,0.779,0.995
BRATS_464.nii.gz,0.771,0.627,1.000,0.779,0.638,0.999,0.753,0.613,0.979,0.809,0.680,1.000,0.735,0.582,1.000
BRATS_465.nii.gz,0.811,0.701,0.964,0.164,0.317,0.111,0.814,0.723,0.931,0.846,0.745,0.979,0.806,0.706,0.940
BRATS_466.nii.gz,0.871,0.843,0.900,0.054,0.581,0.028,0.826,0.767,0.894,0.908,0.879,0.938,0.911,0.899,0.924
BRATS_467.nii.gz,0.883,0.853,0.915,0.001,0.000,1.000,0.799,0.666,0.999,0.669,0.924,0.524,0.859,0.888,0.831
BRATS_468.nii.gz,0.779,0.710,0.863,0.393,0.375,0.412,0.617,0.535,0.730,0.638,0.544,0.770,0.635,0.550,0.749
BRATS_469.nii.gz,0.686,0.523,0.997,0.372,0.229,0.998,0.783,0.677,0.929,0.826,0.705,0.998,0.754,0.605,1.000
BRATS_470.nii.gz,0.913,0.861,0.970,0.478,0.960,0.318,0.778,0.768,0.790,0.889,0.813,0.981,0.911,0.841,0.993
BRATS_471.nii.gz,0.927,0.912,0.943,0.000,0.000,1.000,0.490,0.547,0.444,0.793,0.675,0.962,0.804,0.695,0.952
BRATS_472.nii.gz,0.691,0.551,0.927,0.001,0.000,1.000,0.714,0.576,0.940,0.694,0.555,0.926,0.699,0.562,0.925
BRATS_473.nii.gz,0.523,0.932,0.364,0.450,0.291,0.997,0.710,0.674,0.750,0.776,0.934,0.663,0.774,0.921,0.668
BRATS_474.nii.gz,0.278,0.161,1.000,0.620,0.449,1.000,0.563,0.468,0.709,0.805,0.702,0.944,0.784,0.678,0.928
BRATS_475.nii.gz,0.552,0.393,0.925,0.000,0.000,1.000,0.533,0.364,0.993,0.777,0.637,0.996,0.765,0.619,1.000
BRATS_476.nii.gz,0.714,0.715,0.713,0.637,0.590,0.694,0.706,0.819,0.620,0.876,0.785,0.990,0.851,0.783,0.931
BRATS_477.nii.gz,0.694,0.555,0.927,0.754,0.605,1.000,0.447,0.288,0.998,0.850,0.786,0.926,0.847,0.776,0.934
BRATS_478.nii.gz,0.667,0.723,0.619,0.000,0.000,0.000,0.659,0.517,0.910,0.487,0.552,0.435,0.001,0.000,0.001
BRATS_479.nii.gz,0.889,0.800,0.999,0.655,0.743,0.586,0.595,0.645,0.551,0.877,0.785,0.995,0.859,0.753,1.000
BRATS_480.nii.gz,0.750,0.640,0.906,0.001,0.000,1.000,0.697,0.589,0.853,0.765,0.624,0.988,0.744,0.600,0.979
BRATS_481.nii.gz,0.819,0.916,0.740,0.558,0.387,1.000,0.793,0.697,0.920,0.674,0.772,0.598,0.702,0.788,0.633
BRATS_482.nii.gz,0.371,0.233,0.915,0.495,0.457,0.540,0.590,0.571,0.610,0.240,0.136,0.996,0.310,0.184,0.993
BRATS_483.nii.gz,0.481,0.494,0.468,0.698,0.775,0.635,0.001,0.000,1.000,0.451,0.497,0.412,0.477,0.506,0.450
BRATS_484.nii.gz,0.590,0.469,0.795,0.342,0.207,0.980,0.658,0.498,0.969,0.656,0.536,0.847,0.644,0.505,0.889
